mode,limit,depth,movetime_ms,clock,index,fen,base_best,cand_best,bestmove_changed,base_depth,cand_depth,base_score_cp,cand_score_cp,score_delta_cp,base_nodes,cand_nodes,node_delta,node_delta_pct,base_time_ms,cand_time_ms,time_delta_ms,time_delta_pct,base_qnode_pct,cand_qnode_pct,base_lmp,cand_lmp,base_futility,cand_futility,base_pvs_research,cand_pvs_research,base_oracle_rank,cand_oracle_rank,base_oracle_loss_cp,cand_oracle_loss_cp,oracle_loss_delta_cp
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,11,r1bqk2r/ppp2ppp/2n2n2/3pp3/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 5 6,f3e5,f3e5,0,5,5,-63,-63,0,6958,6958,0,0.00,41,41,0,0.00,46,46,84,84,149,149,20,20,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,12,r1bq1rk1/ppp2ppp/2np1n2/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 2 6,d4d5,d4d5,0,8,8,404,404,0,24809,24809,0,0.00,158,159,1,0.63,30,30,3166,3166,4803,4803,76,76,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,13,r3kb1r/pppb1ppp/2np4/4p3/1PP1P3/5N2/PB3PPP/RN1QKB1R w KQkq - 2 9,a2a3,a2a3,0,7,7,854,854,0,14722,14722,0,0.00,86,88,2,2.33,29,29,906,906,1410,1410,46,46,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,14,r1bq1rk1/pppnn1bp/3p2p1/3Ppp2/2P1P3/2N2NP1/PP1B1PBP/R2Q1RK1 b - - 0 11,a7a5,a7a5,0,7,7,-13,-13,0,25325,25325,0,0.00,174,175,1,0.57,32,32,3387,3387,2024,2024,79,79,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,15,rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 0 7,c5d4,c5d4,0,6,6,20,20,0,12501,12501,0,0.00,84,83,-1,-1.19,28,28,583,583,657,657,44,44,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,16,r4rk1/ppp1qppp/2n1p3/3p4/1b1P4/2N1PN2/PP2BPPP/R2Q1RK1 w - - 2 9,g2g3,g2g3,0,6,6,351,351,0,28658,28658,0,0.00,160,163,3,1.88,35,35,5490,5490,4359,4359,356,356,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,17,2rq1rk1/pp1bppbp/2np1np1/4P3/3N1P2/2N1B3/PPP1B1PP/R2Q1RK1 w - - 3 12,e5f6,e5f6,0,5,5,265,265,0,15654,15654,0,0.00,73,71,-2,-2.74,36,36,0,0,0,0,5,5,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,18,r1bq1rk1/pp2bppp/2n1pn2/2pp4/2PP4/2N1PN2/PPQ1BPPP/R1B2RK1 b - - 3 8,c5d4,c5d4,0,5,5,33,33,0,7964,7964,0,0.00,39,39,0,0.00,39,39,123,123,0,0,10,10,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,19,r1bq1rk1/1pp2ppp/p1np1n2/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - - 3 9,d4e5,d4e5,0,5,5,441,441,0,7383,7383,0,0.00,37,34,-3,-8.11,38,38,26,26,0,0,7,7,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,20,r1b1kb1r/pp1p1ppp/1qn1p3/2pn4/3P4/2N2N2/PPP1BPPP/R1BQ1RK1 w kq - 4 7,c3d5,c3d5,0,5,5,78,78,0,7910,7910,0,0.00,38,39,1,2.63,34,34,19,19,0,0,5,5,,,,,
